"workerid","occludeUtterance","occludeWheel","utteranceID","utterance","spinnerID","payoff1","payoff2","payoff3","prob1","prob2","prob3","win","winProb","angleProp","EV","PE","absPE","happy","sad","anger","surprise","disgust","fear","content","disapp"
90,0,1,3,"yay",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,1,1,1,1,1,5,1
23,0,1,5,"man",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,7,2,5,6,2,3,8
114,0,1,5,"man",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,5,1,6,7,1,1,8
127,0,1,6,"oh",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,5,3,6,4,1,3,7
21,0,1,7,"damn",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,9,3,8,1,1,9
69,0,1,5,"man",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,7,1,1,7,1,1,9
81,0,1,3,"yay",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,1,1,4,1,1,1,1
88,0,1,2,"awesome",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,1,1,7,1,1,7,1
45,0,1,7,"damn",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,6,3,3,2,2,1,9
56,0,1,5,"man",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,7,5,5,6,6,2,9
135,0,1,7,"damn",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,5,7,1,2,1,1,7
48,0,1,9,"meh",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,1,3,2,1,7,8
52,0,1,4,"wow",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,1,1,4,2,1,5,3
63,0,1,2,"awesome",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,1,1,9,1,1,9,1
46,0,1,7,"damn",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,7,7,7,7,1,1,9
42,0,1,3,"yay",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,3,2,6,1,1,8,2
6,0,1,10,"yikes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,6,6,8,7,1,3,8
57,0,1,2,"awesome",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,1,1,5,1,1,5,5
36,0,1,9,"meh",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,2,2,5,4,1,5,6
13,0,1,4,"wow",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,2,1,7,1,1,1,1
125,0,1,4,"wow",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,5,5,5,5,5,5
130,0,1,5,"man",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,7,7,4,7,5,2,9
5,0,1,6,"oh",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,7,6,8,5,1,4,7
60,0,1,5,"man",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,7,2,2,3,1,5,9
103,0,1,3,"yay",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,1,1,6,1,1,8,1
25,0,1,6,"oh",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,2,2,9,3,2,5,3
109,0,1,4,"wow",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,2,1,8,1,1,8,1
93,0,1,7,"damn",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,6,5,3,5,1,1,9
27,0,1,2,"awesome",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,2,1,6,1,1,2,1
149,0,1,10,"yikes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,2,1,6,1,1,9
