"workerid","occludeUtterance","occludeWheel","utteranceID","utterance","spinnerID","payoff1","payoff2","payoff3","prob1","prob2","prob3","win","winProb","angleProp","EV","PE","absPE","happy","sad","anger","surprise","disgust","fear","content","disapp"
11,0,0,10,"yikes",9,15,70,80,0.45,0.29,0.26,80,0.26,0.414,47.85,32.15,32.15,9,6,6,8,8,5,6,5
101,0,0,2,"awesome",32,45,60,90,0.52,0.29,0.19,60,0.29,0.514,57.9,2.1,2.1,7,1,1,6,1,1,6,3
41,0,0,2,"awesome",47,55,70,85,0.28,0.51,0.21,70,0.51,0.413,68.95,1.05,1.05,7,1,1,5,1,1,1,1
54,0,0,6,"oh",24,20,60,90,0.33,0.2,0.47,90,0.47,0.529,60.9,29.1,29.1,6,1,1,6,1,1,1,1
14,0,0,10,"yikes",14,30,50,95,0.33,0.29,0.38,50,0.29,0.314,60.5,-10.5,10.5,3,7,7,6,5,2,2,2
96,0,0,8,"dang",9,15,70,80,0.45,0.29,0.26,80,0.26,0.33,47.85,32.15,32.15,2,6,1,1,4,1,1,6
136,0,0,6,"oh",16,25,60,100,0.45,0.37,0.18,25,0.45,0.742,51.45,-26.45,26.45,3,6,4,2,6,3,4,7
118,0,0,5,"man",16,25,60,100,0.45,0.37,0.18,25,0.45,0.414,51.45,-26.45,26.45,1,9,9,1,3,1,3,9
4,0,0,6,"oh",9,15,70,80,0.45,0.29,0.26,80,0.26,0.422,47.85,32.15,32.15,9,1,1,7,1,1,8,1
89,0,0,5,"man",9,15,70,80,0.45,0.29,0.26,80,0.26,0.216,47.85,32.15,32.15,9,1,1,8,1,1,9,1
50,0,0,5,"man",14,30,50,95,0.33,0.29,0.38,50,0.29,0.074,60.5,-10.5,10.5,9,1,1,7,1,1,9,2
131,0,0,3,"yay",12,20,45,70,0.4,0.34,0.26,70,0.26,0.598,41.5,28.5,28.5,9,1,1,6,1,1,9,1
145,0,0,5,"man",49,50,75,90,0.3,0.52,0.18,50,0.3,0.611,70.2,-20.2,20.2,5,4,3,3,7,6,3,8
102,0,0,2,"awesome",12,20,45,70,0.4,0.34,0.26,70,0.26,0.765,41.5,28.5,28.5,9,1,1,4,1,1,7,1
20,0,0,9,"meh",49,50,75,90,0.3,0.52,0.18,50,0.3,0.822,70.2,-20.2,20.2,7,2,2,4,2,2,5,4
122,0,0,8,"dang",12,20,45,70,0.4,0.34,0.26,70,0.26,0.546,41.5,28.5,28.5,1,2,6,2,6,1,2,8
39,0,0,8,"dang",32,45,60,90,0.52,0.29,0.19,60,0.29,0.066,57.9,2.1,2.1,4,5,6,6,5,2,2,8
84,0,0,7,"damn",49,50,75,90,0.3,0.52,0.18,50,0.3,0.469,70.2,-20.2,20.2,2,5,8,5,6,5,2,9
17,0,0,4,"wow",14,30,50,95,0.33,0.29,0.38,50,0.29,0.39,60.5,-10.5,10.5,9,1,1,9,1,1,8,1
75,0,0,6,"oh",41,0,40,95,0.27,0.4,0.33,40,0.4,0.525,47.35,-7.35,7.35,4,5,4,5,5,4,4,7
111,0,0,8,"dang",14,30,50,95,0.33,0.29,0.38,50,0.29,0.752,60.5,-10.5,10.5,1,3,3,1,3,1,7,9
66,0,0,3,"yay",41,0,40,95,0.27,0.4,0.33,40,0.4,0.392,47.35,-7.35,7.35,7,1,1,5,1,1,7,3
98,0,0,10,"yikes",41,0,40,95,0.27,0.4,0.33,40,0.4,0.252,47.35,-7.35,7.35,8,2,1,8,1,1,7,2
35,0,0,3,"yay",16,25,60,100,0.45,0.37,0.18,25,0.45,0.882,51.45,-26.45,26.45,6,2,1,5,1,1,1,5
61,0,0,3,"yay",12,20,45,70,0.4,0.34,0.26,70,0.26,0.601,41.5,28.5,28.5,7,1,1,3,1,1,7,1
64,0,0,8,"dang",16,25,60,100,0.45,0.37,0.18,25,0.45,0.437,51.45,-26.45,26.45,2,7,5,3,3,1,2,7
137,0,0,9,"meh",9,15,70,80,0.45,0.29,0.26,80,0.26,0.639,47.85,32.15,32.15,3,1,1,2,2,1,1,3
3,0,0,4,"wow",9,15,70,80,0.45,0.29,0.26,80,0.26,0.616,47.85,32.15,32.15,9,1,1,9,1,1,9,1
12,0,0,10,"yikes",41,0,40,95,0.27,0.4,0.33,40,0.4,0.307,47.35,-7.35,7.35,2,6,1,1,4,1,4,7
26,0,0,6,"oh",12,20,45,70,0.4,0.34,0.26,70,0.26,0.475,41.5,28.5,28.5,4,6,6,8,6,3,4,3
76,0,0,6,"oh",24,20,60,90,0.33,0.2,0.47,90,0.47,0.436,60.9,29.1,29.1,9,1,1,4,1,1,9,1
43,0,0,9,"meh",12,20,45,70,0.4,0.34,0.26,70,0.26,0.296,41.5,28.5,28.5,9,8,7,6,5,4,3,2
142,0,0,8,"dang",14,30,50,95,0.33,0.29,0.38,50,0.29,0.174,60.5,-10.5,10.5,3,7,1,6,1,1,2,8
121,0,0,8,"dang",16,25,60,100,0.45,0.37,0.18,25,0.45,0.456,51.45,-26.45,26.45,2,4,4,3,6,1,3,7
78,0,0,10,"yikes",24,20,60,90,0.33,0.2,0.47,90,0.47,0.054,60.9,29.1,29.1,9,1,1,9,1,1,1,1
124,0,0,9,"meh",14,30,50,95,0.33,0.29,0.38,50,0.29,0.949,60.5,-10.5,10.5,6,3,3,4,3,3,6,5
