"workerid","occludeUtterance","occludeWheel","utteranceID","utterance","spinnerID","payoff1","payoff2","payoff3","prob1","prob2","prob3","win","winProb","angleProp","EV","PE","absPE","happy","sad","anger","surprise","disgust","fear","content","disapp"
73,1,0,NA,NA,32,45,60,90,0.52,0.29,0.19,60,0.29,0.947,57.9,2.1,2.1,8,1,1,9,1,1,9,3
132,1,0,NA,NA,9,15,70,80,0.45,0.29,0.26,80,0.26,0.027,47.85,32.15,32.15,8,1,1,6,1,1,8,1
82,1,0,NA,NA,9,15,70,80,0.45,0.29,0.26,80,0.26,0.583,47.85,32.15,32.15,7,2,1,6,1,1,9,2
74,1,0,NA,NA,32,45,60,90,0.52,0.29,0.19,60,0.29,0.226,57.9,2.1,2.1,8,1,1,8,1,1,1,1
32,1,0,NA,NA,24,20,60,90,0.33,0.2,0.47,90,0.47,0.588,60.9,29.1,29.1,9,1,1,9,1,1,9,1
80,1,0,NA,NA,9,15,70,80,0.45,0.29,0.26,80,0.26,0.723,47.85,32.15,32.15,9,1,1,9,1,1,9,1
117,1,0,NA,NA,12,20,45,70,0.4,0.34,0.26,70,0.26,0.027,41.5,28.5,28.5,8,1,1,9,1,1,2,1
123,1,0,NA,NA,24,20,60,90,0.33,0.2,0.47,90,0.47,0.002,60.9,29.1,29.1,7,1,1,6,1,1,7,1
139,1,0,NA,NA,41,0,40,95,0.27,0.4,0.33,40,0.4,0.729,47.35,-7.35,7.35,7,4,3,7,3,3,7,6
18,1,0,NA,NA,14,30,50,95,0.33,0.29,0.38,50,0.29,0.695,60.5,-10.5,10.5,7,1,1,7,1,1,6,2
116,1,0,NA,NA,49,50,75,90,0.3,0.52,0.18,50,0.3,0.136,70.2,-20.2,20.2,5,2,2,5,2,4,3,2
38,1,0,NA,NA,32,45,60,90,0.52,0.29,0.19,60,0.29,0.371,57.9,2.1,2.1,7,1,1,4,1,1,9,3
86,1,0,NA,NA,14,30,50,95,0.33,0.29,0.38,50,0.29,0.734,60.5,-10.5,10.5,6,4,4,3,6,2,6,6
2,1,0,NA,NA,49,50,75,90,0.3,0.52,0.18,50,0.3,0.677,70.2,-20.2,20.2,6,2,2,6,2,1,5,2
91,1,0,NA,NA,9,15,70,80,0.45,0.29,0.26,80,0.26,0.57,47.85,32.15,32.15,9,1,1,9,1,1,8,1
58,1,0,NA,NA,47,55,70,85,0.28,0.51,0.21,70,0.51,0.48,68.95,1.05,1.05,7,2,2,4,1,1,7,3
15,1,0,NA,NA,24,20,60,90,0.33,0.2,0.47,90,0.47,0.904,60.9,29.1,29.1,9,1,1,5,1,1,9,1
9,1,0,NA,NA,24,20,60,90,0.33,0.2,0.47,90,0.47,0.648,60.9,29.1,29.1,9,1,1,6,1,1,1,1
100,1,0,NA,NA,9,15,70,80,0.45,0.29,0.26,80,0.26,0.195,47.85,32.15,32.15,9,1,1,9,1,1,9,1
30,1,0,NA,NA,47,55,70,85,0.28,0.51,0.21,70,0.51,0.099,68.95,1.05,1.05,6,3,2,2,1,1,7,4
126,1,0,NA,NA,14,30,50,95,0.33,0.29,0.38,50,0.29,0.373,60.5,-10.5,10.5,8,2,1,3,1,1,7,4
68,1,0,NA,NA,9,15,70,80,0.45,0.29,0.26,80,0.26,0.36,47.85,32.15,32.15,9,1,1,7,1,1,7,1
47,1,0,NA,NA,32,45,60,90,0.52,0.29,0.19,60,0.29,0.853,57.9,2.1,2.1,6,4,2,2,3,1,6,5
59,1,0,NA,NA,12,20,45,70,0.4,0.34,0.26,70,0.26,0.016,41.5,28.5,28.5,7,1,1,6,1,1,2,1
144,1,0,NA,NA,14,30,50,95,0.33,0.29,0.38,50,0.29,0.282,60.5,-10.5,10.5,8,1,1,8,1,1,7,3
112,1,0,NA,NA,14,30,50,95,0.33,0.29,0.38,50,0.29,0.866,60.5,-10.5,10.5,7,2,2,6,2,1,6,2
1,1,0,NA,NA,14,30,50,95,0.33,0.29,0.38,50,0.29,0.194,60.5,-10.5,10.5,6,1,1,3,1,1,6,3
92,1,0,NA,NA,14,30,50,95,0.33,0.29,0.38,50,0.29,0.662,60.5,-10.5,10.5,6,3,3,5,3,3,5,5
147,1,0,NA,NA,16,25,60,100,0.45,0.37,0.18,25,0.45,0.847,51.45,-26.45,26.45,3,4,3,1,5,1,4,6
19,1,0,NA,NA,14,30,50,95,0.33,0.29,0.38,50,0.29,0.369,60.5,-10.5,10.5,7,3,3,6,4,5,7,5
133,1,0,NA,NA,16,25,60,100,0.45,0.37,0.18,25,0.45,0.073,51.45,-26.45,26.45,6,4,2,1,1,1,6,4
33,1,0,NA,NA,24,20,60,90,0.33,0.2,0.47,90,0.47,0.616,60.9,29.1,29.1,9,1,1,7,1,1,6,1
70,1,0,NA,NA,32,45,60,90,0.52,0.29,0.19,60,0.29,0.092,57.9,2.1,2.1,7,1,1,6,1,1,1,2
150,1,0,NA,NA,49,50,75,90,0.3,0.52,0.18,50,0.3,0.78,70.2,-20.2,20.2,5,3,2,1,3,1,3,6
129,1,0,NA,NA,14,30,50,95,0.33,0.29,0.38,50,0.29,0.749,60.5,-10.5,10.5,5,2,2,8,1,1,6,2
115,1,0,NA,NA,14,30,50,95,0.33,0.29,0.38,50,0.29,0.312,60.5,-10.5,10.5,7,1,1,1,1,1,9,1
148,1,0,NA,NA,49,50,75,90,0.3,0.52,0.18,50,0.3,0.67,70.2,-20.2,20.2,2,5,5,5,3,4,3,5
120,1,0,NA,NA,12,20,45,70,0.4,0.34,0.26,70,0.26,0.468,41.5,28.5,28.5,3,4,2,6,6,3,6,7
7,1,0,NA,NA,24,20,60,90,0.33,0.2,0.47,90,0.47,0.471,60.9,29.1,29.1,8,1,1,5,1,1,5,1
94,1,0,NA,NA,9,15,70,80,0.45,0.29,0.26,80,0.26,0.741,47.85,32.15,32.15,9,1,1,8,1,1,9,1
141,1,0,NA,NA,14,30,50,95,0.33,0.29,0.38,50,0.29,0.899,60.5,-10.5,10.5,6,1,1,1,1,1,5,1
143,1,0,NA,NA,47,55,70,85,0.28,0.51,0.21,70,0.51,0.735,68.95,1.05,1.05,6,3,3,1,3,3,3,3
104,1,0,NA,NA,47,55,70,85,0.28,0.51,0.21,70,0.51,0.823,68.95,1.05,1.05,9,1,1,7,1,1,9,1
49,1,0,NA,NA,47,55,70,85,0.28,0.51,0.21,70,0.51,0.171,68.95,1.05,1.05,9,1,1,7,1,1,9,1
73,1,0,NA,NA,49,50,75,90,0.3,0.52,0.18,50,0.3,0.412,70.2,-20.2,20.2,8,1,1,9,1,1,8,2
114,1,0,NA,NA,32,45,60,90,0.52,0.29,0.19,60,0.29,0.319,57.9,2.1,2.1,6,2,1,5,2,1,7,2
127,1,0,NA,NA,41,0,40,95,0.27,0.4,0.33,40,0.4,0.476,47.35,-7.35,7.35,6,2,1,4,1,1,6,3
101,1,0,NA,NA,49,50,75,90,0.3,0.52,0.18,50,0.3,0.116,70.2,-20.2,20.2,7,1,1,3,1,1,3,2
21,1,0,NA,NA,1,0,30,60,0.38,0.36,0.26,0,0.38,0.08,26.4,-26.4,26.4,1,7,9,4,8,1,1,9
69,1,0,NA,NA,9,15,70,80,0.45,0.29,0.26,80,0.26,0.466,47.85,32.15,32.15,9,1,1,6,1,1,9,1
80,1,0,NA,NA,49,50,75,90,0.3,0.52,0.18,50,0.3,0.983,70.2,-20.2,20.2,7,2,1,5,1,1,4,6
81,1,0,NA,NA,1,0,30,60,0.38,0.36,0.26,0,0.38,0.19,26.4,-26.4,26.4,1,9,8,5,8,1,1,9
88,1,0,NA,NA,47,55,70,85,0.28,0.51,0.21,70,0.51,0.283,68.95,1.05,1.05,7,1,1,1,1,1,6,1
45,1,0,NA,NA,14,30,50,95,0.33,0.29,0.38,50,0.29,0.378,60.5,-10.5,10.5,6,2,1,2,1,1,7,3
135,1,0,NA,NA,1,0,30,60,0.38,0.36,0.26,0,0.38,0.691,26.4,-26.4,26.4,1,5,6,1,4,1,1,9
52,1,0,NA,NA,41,0,40,95,0.27,0.4,0.33,40,0.4,0.266,47.35,-7.35,7.35,7,1,1,5,1,1,7,3
118,1,0,NA,NA,14,30,50,95,0.33,0.29,0.38,50,0.29,0.844,60.5,-10.5,10.5,5,4,4,4,1,1,7,5
4,1,0,NA,NA,1,0,30,60,0.38,0.36,0.26,0,0.38,0.529,26.4,-26.4,26.4,1,7,7,8,5,3,2,8
42,1,0,NA,NA,12,20,45,70,0.4,0.34,0.26,70,0.26,0.732,41.5,28.5,28.5,9,1,1,7,1,1,9,1
139,1,0,NA,NA,14,30,50,95,0.33,0.29,0.38,50,0.29,0.835,60.5,-10.5,10.5,6,3,2,7,2,2,7,2
50,1,0,NA,NA,9,15,70,80,0.45,0.29,0.26,80,0.26,0.101,47.85,32.15,32.15,9,1,1,9,1,1,9,1
18,1,0,NA,NA,24,20,60,90,0.33,0.2,0.47,90,0.47,0.157,60.9,29.1,29.1,9,1,1,8,1,1,7,1
145,1,0,NA,NA,9,15,70,80,0.45,0.29,0.26,80,0.26,0.49,47.85,32.15,32.15,9,1,1,9,1,1,9,1
116,1,0,NA,NA,12,20,45,70,0.4,0.34,0.26,70,0.26,0.812,41.5,28.5,28.5,9,2,1,6,1,1,1,1
13,1,0,NA,NA,14,30,50,95,0.33,0.29,0.38,50,0.29,0.148,60.5,-10.5,10.5,6,2,2,7,2,1,4,4
20,1,0,NA,NA,12,20,45,70,0.4,0.34,0.26,70,0.26,0.668,41.5,28.5,28.5,9,1,1,9,1,1,9,1
122,1,0,NA,NA,32,45,60,90,0.52,0.29,0.19,60,0.29,0.454,57.9,2.1,2.1,7,1,1,6,1,1,8,1
39,1,0,NA,NA,12,20,45,70,0.4,0.34,0.26,70,0.26,0.14,41.5,28.5,28.5,8,2,2,5,1,1,8,3
66,1,0,NA,NA,32,45,60,90,0.52,0.29,0.19,60,0.29,0.064,57.9,2.1,2.1,8,2,2,7,1,1,8,2
9,1,0,NA,NA,14,30,50,95,0.33,0.29,0.38,50,0.29,0.097,60.5,-10.5,10.5,6,3,1,2,1,1,6,1
61,1,0,NA,NA,1,0,30,60,0.38,0.36,0.26,0,0.38,0.277,26.4,-26.4,26.4,1,1,1,1,1,1,1,1
64,1,0,NA,NA,24,20,60,90,0.33,0.2,0.47,90,0.47,0.634,60.9,29.1,29.1,9,1,1,9,1,1,9,1
103,1,0,NA,NA,24,20,60,90,0.33,0.2,0.47,90,0.47,0.214,60.9,29.1,29.1,8,1,1,3,1,1,8,1
137,1,0,NA,NA,1,0,30,60,0.38,0.36,0.26,0,0.38,0.9,26.4,-26.4,26.4,1,6,4,3,5,1,2,8
100,1,0,NA,NA,32,45,60,90,0.52,0.29,0.19,60,0.29,0.986,57.9,2.1,2.1,5,2,1,5,4,1,4,6
30,1,0,NA,NA,49,50,75,90,0.3,0.52,0.18,50,0.3,0.507,70.2,-20.2,20.2,3,7,6,4,8,1,2,8
12,1,0,NA,NA,14,30,50,95,0.33,0.29,0.38,50,0.29,0.831,60.5,-10.5,10.5,6,2,1,3,1,1,3,4
26,1,0,NA,NA,14,30,50,95,0.33,0.29,0.38,50,0.29,0.309,60.5,-10.5,10.5,8,2,1,7,2,6,3,1
25,1,0,NA,NA,49,50,75,90,0.3,0.52,0.18,50,0.3,0.848,70.2,-20.2,20.2,4,6,6,5,6,2,4,7
68,1,0,NA,NA,1,0,30,60,0.38,0.36,0.26,0,0.38,0.378,26.4,-26.4,26.4,1,7,4,6,6,1,2,7
47,1,0,NA,NA,41,0,40,95,0.27,0.4,0.33,40,0.4,0.696,47.35,-7.35,7.35,6,3,2,3,4,1,6,6
59,1,0,NA,NA,32,45,60,90,0.52,0.29,0.19,60,0.29,0.442,57.9,2.1,2.1,5,1,2,4,1,1,1,4
