"workerid","occludeFace","occludeWheel","faceID","faceValence","faceArousal","facePath","spinnerID","payoff1","payoff2","payoff3","prob1","prob2","prob3","win","winProb","angleProp","EV","PE","absPE","happy","sad","anger","surprise","disgust","fear","content","disapp"
35,0,0,1,-3,0,"face_-3_0_1",9,15,70,80,0.45,0.29,0.26,80,0.26,0.442,47.85,32.15,32.15,5,2,2,4,1,1,9,1
183,0,0,1,-3,0,"face_-3_0_1",12,20,45,70,0.4,0.34,0.26,70,0.26,0.51,41.5,28.5,28.5,5,5,5,5,5,5,5,5
251,0,0,35,3,4,"face_3_4_1",16,25,60,100,0.45,0.37,0.18,25,0.45,0.679,51.45,-26.45,26.45,7,2,1,4,1,1,1,1
247,0,0,4,0,0,"face_0_0_1",41,0,40,95,0.27,0.4,0.33,40,0.4,0.799,47.35,-7.35,7.35,6,4,3,2,1,1,5,3
197,0,0,7,3,0,"face_3_0_1",16,25,60,100,0.45,0.37,0.18,25,0.45,0.297,51.45,-26.45,26.45,3,3,7,5,2,2,4,6
55,0,0,7,3,0,"face_3_0_1",9,15,70,80,0.45,0.29,0.26,80,0.26,0.457,47.85,32.15,32.15,8,2,2,6,2,2,5,2
426,0,0,32,0,4,"face_0_4_1",41,0,40,95,0.27,0.4,0.33,40,0.4,0.646,47.35,-7.35,7.35,7,1,1,7,1,1,1,1
68,0,0,35,3,4,"face_3_4_1",12,20,45,70,0.4,0.34,0.26,70,0.26,0.836,41.5,28.5,28.5,8,1,1,6,1,1,7,1
295,0,0,4,0,0,"face_0_0_1",9,15,70,80,0.45,0.29,0.26,80,0.26,0.837,47.85,32.15,32.15,7,1,1,6,1,1,6,1
398,0,0,29,-3,4,"face_-3_4_1",12,20,45,70,0.4,0.34,0.26,70,0.26,0.637,41.5,28.5,28.5,3,4,7,5,7,2,2,4
169,0,0,4,0,0,"face_0_0_1",47,55,70,85,0.28,0.51,0.21,70,0.51,0.333,68.95,1.05,1.05,3,3,4,2,4,1,1,6
298,0,0,35,3,4,"face_3_4_1",32,45,60,90,0.52,0.29,0.19,60,0.29,0.476,57.9,2.1,2.1,9,1,1,4,1,1,1,1
155,0,0,35,3,4,"face_3_4_1",14,30,50,95,0.33,0.29,0.38,50,0.29,0.077,60.5,-10.5,10.5,7,1,1,8,1,1,9,1
115,0,0,35,3,4,"face_3_4_1",9,15,70,80,0.45,0.29,0.26,80,0.26,0.394,47.85,32.15,32.15,9,1,1,9,1,1,8,1
133,0,0,35,3,4,"face_3_4_1",47,55,70,85,0.28,0.51,0.21,70,0.51,0.659,68.95,1.05,1.05,9,1,1,5,1,1,7,1
24,0,0,7,3,0,"face_3_0_1",41,0,40,95,0.27,0.4,0.33,40,0.4,0.09,47.35,-7.35,7.35,7,3,3,4,2,2,3,4
406,0,0,1,-3,0,"face_-3_0_1",12,20,45,70,0.4,0.34,0.26,70,0.26,0.181,41.5,28.5,28.5,1,6,5,1,6,1,1,9
427,0,0,29,-3,4,"face_-3_4_1",14,30,50,95,0.33,0.29,0.38,50,0.29,0.045,60.5,-10.5,10.5,2,4,6,1,7,1,2,8
18,0,0,4,0,0,"face_0_0_1",9,15,70,80,0.45,0.29,0.26,80,0.26,0.433,47.85,32.15,32.15,9,1,1,9,1,1,1,1
