"workerid","occludeFace","occludeWheel","faceID","faceValence","faceArousal","facePath","spinnerID","payoff1","payoff2","payoff3","prob1","prob2","prob3","win","winProb","angleProp","EV","PE","absPE","happy","sad","anger","surprise","disgust","fear","content","disapp"
340,1,0,NA,NA,NA,NA,49,50,75,90,0.3,0.52,0.18,50,0.3,0.921,70.2,-20.2,20.2,6,1,1,6,3,1,6,4
149,1,0,NA,NA,NA,NA,9,15,70,80,0.45,0.29,0.26,80,0.26,0.873,47.85,32.15,32.15,8,1,1,9,1,1,1,1
236,1,0,NA,NA,NA,NA,49,50,75,90,0.3,0.52,0.18,50,0.3,0.467,70.2,-20.2,20.2,6,2,2,3,1,1,3,5
201,1,0,NA,NA,NA,NA,41,0,40,95,0.27,0.4,0.33,40,0.4,0.615,47.35,-7.35,7.35,6,1,1,6,1,1,7,4
378,1,0,NA,NA,NA,NA,24,20,60,90,0.33,0.2,0.47,90,0.47,0.96,60.9,29.1,29.1,9,1,1,9,1,1,1,1
74,1,0,NA,NA,NA,NA,32,45,60,90,0.52,0.29,0.19,60,0.29,0.637,57.9,2.1,2.1,6,2,2,6,1,1,5,2
163,1,0,NA,NA,NA,NA,14,30,50,95,0.33,0.29,0.38,50,0.29,0.27,60.5,-10.5,10.5,5,5,5,4,2,2,5,3
290,1,0,NA,NA,NA,NA,9,15,70,80,0.45,0.29,0.26,80,0.26,0.647,47.85,32.15,32.15,8,1,1,7,1,1,7,1
235,1,0,NA,NA,NA,NA,14,30,50,95,0.33,0.29,0.38,50,0.29,0.526,60.5,-10.5,10.5,5,1,1,6,1,1,1,1
300,1,0,NA,NA,NA,NA,41,0,40,95,0.27,0.4,0.33,40,0.4,0.733,47.35,-7.35,7.35,7,2,2,7,2,2,7,2
225,1,0,NA,NA,NA,NA,16,25,60,100,0.45,0.37,0.18,25,0.45,0.66,51.45,-26.45,26.45,3,7,7,3,6,4,1,9
127,1,0,NA,NA,NA,NA,41,0,40,95,0.27,0.4,0.33,40,0.4,0.878,47.35,-7.35,7.35,6,1,1,3,1,1,8,2
438,1,0,NA,NA,NA,NA,49,50,75,90,0.3,0.52,0.18,50,0.3,0.35,70.2,-20.2,20.2,6,2,1,2,1,1,8,2
172,1,0,NA,NA,NA,NA,9,15,70,80,0.45,0.29,0.26,80,0.26,0.101,47.85,32.15,32.15,8,1,1,9,1,1,6,1
6,1,0,NA,NA,NA,NA,9,15,70,80,0.45,0.29,0.26,80,0.26,0.979,47.85,32.15,32.15,9,1,1,7,1,1,1,1
419,1,0,NA,NA,NA,NA,9,15,70,80,0.45,0.29,0.26,80,0.26,0.252,47.85,32.15,32.15,9,1,1,6,1,1,6,1
450,1,0,NA,NA,NA,NA,12,20,45,70,0.4,0.34,0.26,70,0.26,0.789,41.5,28.5,28.5,8,1,1,7,1,1,9,1
